signal_date,trade_date,positions,equity,actions,empty_reason
2026-05-15,2026-05-18,1,100206.0,买sz.002156(76),
2026-05-18,2026-05-19,1,100601.0,无信号 可买池为空（无 Dragon/反包/科技/支线/箱体可买）,可买池为空（无 Dragon/反包/科技/支线/箱体可买）
2026-05-19,2026-05-20,1,102311.0,持有不变,
2026-05-20,2026-05-21,1,102051.0,无信号 可买池为空（无 Dragon/反包/科技/支线/箱体可买）,可买池为空（无 Dragon/反包/科技/支线/箱体可买）
2026-05-21,2026-05-22,1,102891.0,持有不变,
2026-05-22,2026-05-25,1,106061.0,持有不变,
2026-05-25,2026-05-26,1,108866.0,持有不变,
2026-05-26,2026-05-27,1,106931.0,无信号 可买池为空（无 Dragon/反包/科技/支线/箱体可买）,可买池为空（无 Dragon/反包/科技/支线/箱体可买）
2026-05-27,2026-05-28,1,105493.0,卖sz.002156(trail_ma5)；买sz.002405(70),
2026-05-28,2026-05-29,2,99698.0,卖sz.002405(stop_loss)；买sz.300657(84)；买sz.300444(82),
2026-05-29,2026-06-01,0,99786.0,卖sz.300657(stop_loss)；卖sz.300444(ma20_break),
2026-06-01,2026-06-02,0,99786.0,无信号 可买池为空（无 Dragon/反包/科技/支线/箱体可买）,可买池为空（无 Dragon/反包/科技/支线/箱体可买）
2026-06-02,2026-06-03,0,99786.0,无信号 可买池为空（无 Dragon/反包/科技/支线/箱体可买）,可买池为空（无 Dragon/反包/科技/支线/箱体可买）
2026-06-03,2026-06-04,1,101330.0,买sh.600522(78),
2026-06-04,2026-06-05,1,101337.0,持有不变,
2026-06-05,2026-06-08,1,103759.0,无信号 过滤后无候选（冷却/动量连霸/追高分）,过滤后无候选（冷却/动量连霸/追高分）
2026-06-08,2026-06-09,1,107224.0,持有不变,
2026-06-09,2026-06-10,1,104228.0,持有不变,
2026-06-10,2026-06-11,0,103543.0,无信号 可买池为空（无 Dragon/反包/科技/支线/箱体可买）,可买池为空（无 Dragon/反包/科技/支线/箱体可买）
2026-06-11,2026-06-12,0,103543.0,无信号 无 Dragon 主线（T-004）→ 不出 Top 3,无 Dragon 主线（T-004）→ 不出 Top 3
