action,symbol,name,primary_signal,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_amount,exit_reason,entry_score,win
buy,sz.002747,埃斯顿,MA5反包,2026-05-18,,25.43,,1200,0.0,-30546.52,,84.6,False
buy,sz.002156,通富微电,Dragon支线,2026-05-18,,57.6,,500,0.0,-28828.8,,76.3,False
buy,sz.300995,奇德新材,箱体突破,2026-05-18,,38.04,,800,0.0,-30462.43,,71.8,False
sell,sz.300995,奇德新材,箱体突破,2026-05-18,2026-05-19,38.04,37.02,800,-2.88,-876.05,rotation,71.8,False
buy,sh.688350,富淼科技,MA5反包,2026-05-19,,38.53,,800,0.0,-30854.82,,84.6,False
sell,sz.002156,通富微电,Dragon支线,2026-05-18,2026-05-19,57.6,56.88,500,-1.45,-417.24,rotation,76.3,False
buy,sz.300042,朗科科技,MA5反包,2026-05-19,,71.09,,400,0.0,-28464.44,,84.6,False
sell,sh.688350,富淼科技,MA5反包,2026-05-19,2026-05-21,38.53,37.55,800,-2.74,-844.86,ma5_break,84.6,False
sell,sz.300042,朗科科技,MA5反包,2026-05-19,2026-05-21,71.09,67.77,400,-4.86,-1383.54,ma5_break,84.6,False
buy,sz.300225,*ST金泰,MA5反包,2026-05-21,,8.09,,3900,0.0,-31582.55,,84.6,False
buy,sz.001313,粤海饲料,MA5反包,2026-05-21,,9.59,,3300,0.0,-31678.65,,84.6,False
sell,sz.001313,粤海饲料,MA5反包,2026-05-21,2026-05-22,9.59,9.17,3300,-4.57,-1447.91,ma5_break,84.6,False
buy,sh.601777,千里科技,MA5反包,2026-05-22,,12.42,,2500,0.0,-31081.05,,84.6,False
sell,sh.601777,千里科技,MA5反包,2026-05-22,2026-05-26,12.42,11.81,2500,-5.1,-1585.57,ma5_break,84.6,False
buy,sz.000519,中兵红箭,箱体突破,2026-05-26,,18.79,,1600,0.0,-30094.06,,78.8,False
sell,sz.002747,埃斯顿,MA5反包,2026-05-18,2026-05-27,25.43,28.43,1200,11.57,3535.37,ma5_break,84.6,True
buy,sz.003013,地铁设计,MA5反包,2026-05-27,,14.88,,2100,0.0,-31279.25,,71.1,False
sell,sz.003013,地铁设计,MA5反包,2026-05-27,2026-05-28,14.88,14.51,2100,-2.68,-838.72,ma5_break,71.1,False
buy,sh.688786,悦安新材,MA5反包,2026-05-28,,38.5,,800,0.0,-30830.8,,70.8,False
sell,sh.688786,悦安新材,MA5反包,2026-05-28,2026-05-29,38.5,41.75,800,8.22,2535.8,rotation,70.8,True
buy,sz.301099,雅创电子,MA5反包,2026-05-29,,71.3,,400,0.0,-28548.52,,84.6,False
