action,symbol,name,primary_signal,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_amount,exit_reason,entry_score,win
sell,sz.000519,中兵红箭,箱体突破,2026-05-26,2026-05-29,18.79,19.9,1600,5.7,1714.1,rotation,78.8,True
buy,sz.301526,国际复材,MA5反包,2026-05-29,,24.76,,1300,0.0,-32220.19,,84.6,False
sell,sz.300225,*ST金泰,MA5反包,2026-05-21,2026-06-01,8.09,9.08,3900,12.01,3794.04,ma5_break,84.6,True
sell,sz.301099,雅创电子,MA5反包,2026-05-29,2026-06-01,71.3,64.74,400,-9.38,-2678.42,stop_loss,84.6,False
sell,sz.301526,国际复材,MA5反包,2026-05-29,2026-06-01,24.76,21.36,1300,-13.9,-4479.96,stop_loss,84.6,False
buy,sh.601066,中信建投,MA5反包,2026-06-01,,24.05,,1200,0.0,-28888.86,,80.2,False
buy,sh.603099,长白山,MA5反包,2026-06-01,,38.75,,700,0.0,-27152.12,,70.8,False
buy,sh.600596,新安股份,MA5反包,2026-06-02,,13.26,,2300,0.0,-30528.5,,84.6,False
sell,sh.603099,长白山,MA5反包,2026-06-01,2026-06-02,38.75,39.0,700,0.44,120.58,rotation,70.8,True
buy,sh.600865,百大集团,箱体突破,2026-06-02,,10.94,,2800,0.0,-30662.63,,78.8,False
sell,sh.600865,百大集团,箱体突破,2026-06-02,2026-06-03,10.94,10.45,2800,-4.67,-1431.89,ma20_break,78.8,False
buy,sz.301366,一博科技,MA5反包,2026-06-03,,54.16,,500,0.0,-27107.08,,84.6,False
sell,sz.301366,一博科技,MA5反包,2026-06-03,2026-06-04,54.16,50.3,500,-7.31,-1982.23,stop_loss,84.6,False
buy,sz.301021,英诺激光,MA5反包,2026-06-04,,96.0,,300,0.0,-28828.8,,84.6,False
sell,sh.601066,中信建投,MA5反包,2026-06-01,2026-06-05,24.05,24.54,1200,1.83,529.69,ma5_break,80.2,True
sell,sz.301021,英诺激光,MA5反包,2026-06-04,2026-06-05,96.0,94.81,300,-1.44,-414.24,ma5_break,84.6,False
buy,sz.300037,新宙邦,MA5反包,2026-06-05,,79.13,,300,0.0,-23762.74,,81.9,False
buy,sh.603588,高能环境,箱体突破,2026-06-05,,13.71,,2200,0.0,-30192.16,,78.8,False
sell,sh.600596,新安股份,MA5反包,2026-06-02,2026-06-08,13.26,13.58,2300,2.21,674.27,ma5_break,84.6,True
sell,sz.300037,新宙邦,MA5反包,2026-06-05,2026-06-08,79.13,73.26,300,-7.6,-1806.72,stop_loss,81.9,False
sell,sh.603588,高能环境,箱体突破,2026-06-05,2026-06-08,13.71,13.01,2200,-5.3,-1598.78,stop_loss,78.8,False
buy,sh.605566,福莱蒽特,MA5反包,2026-06-08,,40.36,,700,0.0,-28280.25,,83.0,False
buy,sh.600906,财达证券,MA5反包,2026-06-08,,6.9,,4200,0.0,-29008.98,,79.6,False
buy,sh.603439,三力制药,MA5反包,2026-06-08,,16.0,,1800,0.0,-28828.8,,72.4,False
sell,sh.600906,财达证券,MA5反包,2026-06-08,2026-06-09,6.9,6.75,4200,-2.37,-687.33,ma5_break,79.6,False
sell,sh.603439,三力制药,MA5反包,2026-06-08,2026-06-09,16.0,15.26,1800,-4.82,-1388.27,ma5_break,72.4,False
buy,sh.688519,南亚新材,MA5反包,2026-06-09,,264.0,,100,0.0,-26426.4,,84.6,False
buy,sh.688456,有研粉材,MA5反包,2026-06-09,,95.96,,300,0.0,-28816.79,,84.4,False
sell,sh.605566,福莱蒽特,MA5反包,2026-06-08,2026-06-10,40.36,41.89,700,3.58,1013.43,rotation,83.0,True
buy,sh.600396,华电辽能,MA5反包,2026-06-10,,20.85,,1500,0.0,-31306.28,,84.6,False
sell,sh.600396,华电辽能,MA5反包,2026-06-10,2026-06-11,20.85,17.73,1500,-15.13,-4737.87,stop_loss,84.6,False
buy,sh.600160,巨化股份,MA5反包,2026-06-11,,40.65,,700,0.0,-28483.45,,75.0,False
